datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2022/10/22 00:05:14,GOES-16,Brasil,PARA,MONTE ALEGRE,Amazonia,2,8.14,0.03,-1.4215,-53.9763,67.4
2022/10/22 00:05:14,GOES-16,Brasil,PARA,MONTE ALEGRE,Amazonia,2,8.09,0.28,-1.4398,-53.9761,42
2022/10/22 00:05:18,GOES-16,Brasil,PARA,MONTE ALEGRE,Amazonia,3,0.13,0.68,-2.1361,-54.4471,51.1
2022/10/22 00:05:18,GOES-16,Brasil,PARA,MONTE ALEGRE,Amazonia,3,0.2,0.6,-2.1362,-54.4271,50.9
2022/10/22 00:05:18,GOES-16,Brasil,PARA,MONTE ALEGRE,Amazonia,3,0.13,1,-2.1545,-54.4468,70.3
2022/10/22 00:05:18,GOES-16,Brasil,PARA,MONTE ALEGRE,Amazonia,3,0.2,0.97,-2.1545,-54.4268,71.1
2022/10/22 00:05:18,GOES-16,Brasil,PARA,PORTO DE MOZ,Amazonia,4,6.1,0.15,-2.1602,-52.0975,44.4
2022/10/22 00:05:22,GOES-16,Brasil,PARA,TOME-ACU,Amazonia,4,1.86,0.52,-2.8361,-48.4286,47.2
2022/10/22 00:05:22,GOES-16,Brasil,PARA,TOME-ACU,Amazonia,5,1.97,0.9,-2.8546,-48.428,54.7
2022/10/22 00:05:22,GOES-16,Brasil,PARA,BELTERRA,Amazonia,0,3.2,0.01,-2.8691,-54.8519,47.5
2022/10/22 00:05:23,GOES-16,Brasil,PARA,PORTEL,Amazonia,4,17.37,0.05,-2.9944,-50.5025,78.5
2022/10/22 00:05:23,GOES-16,Brasil,PARA,PARAGOMINAS,Amazonia,12,0,0.92,-3.0826,-47.0308,78
2022/10/22 00:05:24,GOES-16,Brasil,PARA,MOJU,Amazonia,4,2.99,0.2,-3.1294,-49.0831,62.3
2022/10/22 00:05:25,GOES-16,Brasil,PARA,PORTEL,Amazonia,0,7.14,0.68,-3.3823,-50.4486,57.8
2022/10/22 00:05:27,GOES-16,Brasil,PARA,URUARA,Amazonia,2,6.98,0,-3.6998,-53.8279,60.3
2022/10/22 00:05:27,GOES-16,Brasil,PARA,URUARA,Amazonia,1,6.79,0,-3.6999,-53.8077,73.4
2022/10/22 00:05:27,GOES-16,Brasil,PARA,URUARA,Amazonia,1,7.26,0,-3.7182,-53.8273,71.3
2022/10/22 00:05:27,GOES-16,Brasil,PARA,URUARA,Amazonia,1,7.27,0,-3.7183,-53.8071,90.2
2022/10/22 00:05:28,GOES-16,Brasil,PARA,ULIANOPOLIS,Amazonia,28,5.63,0.35,-3.8392,-47.7871,77.5
2022/10/22 00:05:29,GOES-16,Brasil,PARA,BREU BRANCO,Amazonia,3,7.38,0.71,-3.9784,-49.4775,74.3
2022/10/22 00:05:29,GOES-16,Brasil,PARA,BREU BRANCO,Amazonia,2,8.16,0.48,-3.9969,-49.4768,82.7
2022/10/22 00:05:29,GOES-16,Brasil,PARA,GOIANESIA DO PARA,Amazonia,7,2.51,1,-4.0733,-49.0477,53.7
2022/10/22 00:05:31,GOES-16,Brasil,MARANHAO,ALDEIAS ALTAS,Cerrado,20,0,1,-4.4056,-43.4514,179.9
2022/10/22 00:05:31,GOES-16,Brasil,MARANHAO,ALDEIAS ALTAS,Cerrado,20,0,1,-4.4058,-43.4282,482
2022/10/22 00:05:31,GOES-16,Brasil,MARANHAO,ALDEIAS ALTAS,Cerrado,18,0,1,-4.4059,-43.4049,134.9
2022/10/22 00:05:31,GOES-16,Brasil,MARANHAO,ALDEIAS ALTAS,Cerrado,20,0,1,-4.4243,-43.4503,285.3
2022/10/22 00:05:31,GOES-16,Brasil,MARANHAO,ALDEIAS ALTAS,Cerrado,19,0,1,-4.4245,-43.4271,858.6
2022/10/22 00:05:31,GOES-16,Brasil,MARANHAO,ALDEIAS ALTAS,Cerrado,18,0,1,-4.4246,-43.4038,315.2
2022/10/22 00:05:31,GOES-16,Brasil,MARANHAO,ALDEIAS ALTAS,Cerrado,19,0,1,-4.4431,-43.4259,159.4
2022/10/22 00:05:31,GOES-16,Brasil,MARANHAO,ALDEIAS ALTAS,Cerrado,17,0,1,-4.4433,-43.4027,81.7
2022/10/22 00:05:31,GOES-16,Brasil,MARANHAO,BURITICUPU,Amazonia,42,0,1,-4.4793,-46.3296,97.1
2022/10/22 00:05:31,GOES-16,Brasil,MARANHAO,BURITICUPU,Amazonia,47,0,1,-4.4795,-46.3074,98.4
2022/10/22 00:05:32,GOES-16,Brasil,PARA,NOVO REPARTIMENTO,Amazonia,5,2.7,1,-4.6249,-49.7461,70.1
2022/10/22 00:05:32,GOES-16,Brasil,PARA,NOVO REPARTIMENTO,Amazonia,4,2.97,1,-4.6434,-49.7453,81
2022/10/22 00:05:32,GOES-16,Brasil,PARA,NOVO REPARTIMENTO,Amazonia,4,2.97,1,-4.6436,-49.7241,56.3
2022/10/22 00:05:35,GOES-16,Brasil,MARANHAO,CIDELANDIA,Amazonia,9,2.6,0.49,-5.0448,-47.9453,86.2
2022/10/22 00:05:38,GOES-16,Brasil,MARANHAO,GRAJAU,Cerrado,26,0,1,-5.6393,-45.7239,68.1
2022/10/22 00:05:38,GOES-16,Brasil,MARANHAO,GRAJAU,Cerrado,27,0.03,1,-5.6578,-45.7451,95.1
2022/10/22 00:05:38,GOES-16,Brasil,MARANHAO,GRAJAU,Cerrado,27,0.03,1,-5.658,-45.7226,211.8
2022/10/22 00:05:38,GOES-16,Brasil,MARANHAO,GRAJAU,Cerrado,27,0.03,1,-5.6582,-45.7001,65.9
2022/10/22 00:05:47,GOES-16,Brasil,MARANHAO,LORETO,Cerrado,27,0.68,1,-7.2186,-45.0341,51.4
2022/10/22 00:05:50,GOES-16,Brasil,MARANHAO,SAMBAIBA,Cerrado,25,4.11,0.75,-7.777,-45.5045,62.2
2022/10/22 00:05:51,GOES-16,Brasil,PIAUI,URUCUI,Cerrado,4,0.1,1,-8.0323,-44.6131,80.8
2022/10/22 00:05:51,GOES-16,Brasil,PIAUI,URUCUI,Cerrado,1,0.1,1,-8.0509,-44.6341,107.5
2022/10/22 00:05:51,GOES-16,Brasil,PIAUI,URUCUI,Cerrado,1,0.05,1,-8.0512,-44.6112,92
2022/10/22 00:05:54,GOES-16,Brasil,PIAUI,RIBEIRO GONCALVES,Cerrado,26,9.45,0.32,-8.4554,-45.437,117.2
2022/10/22 00:05:54,GOES-16,Brasil,PIAUI,RIBEIRO GONCALVES,Cerrado,26,9.06,0.38,-8.4743,-45.4351,187.7
2022/10/22 00:05:56,GOES-16,Brasil,TOCANTINS,ARAGUACEMA,Cerrado,5,43.62,0,-8.8953,-49.4737,58.9
2022/10/22 00:06:13,GOES-16,Brasil,BAHIA,RIACHAO DAS NEVES,Cerrado,27,0,1,-11.9207,-44.9525,83.4
2022/10/22 00:06:24,GOES-16,Brasil,BAHIA,MATINA,Caatinga,27,0.9,1,-13.9122,-42.8895,63.2
2022/10/22 00:15:14,GOES-16,Brasil,PARA,MONTE ALEGRE,Amazonia,2,8.14,0.03,-1.4215,-53.9763,55.4
2022/10/22 00:15:18,GOES-16,Brasil,PARA,MONTE ALEGRE,Amazonia,3,0.13,0.68,-2.1361,-54.4471,67.8
2022/10/22 00:15:18,GOES-16,Brasil,PARA,MONTE ALEGRE,Amazonia,3,0.2,0.6,-2.1362,-54.4271,73.7
2022/10/22 00:15:18,GOES-16,Brasil,PARA,MONTE ALEGRE,Amazonia,3,0.13,1,-2.1545,-54.4468,73.4
2022/10/22 00:15:18,GOES-16,Brasil,PARA,MONTE ALEGRE,Amazonia,3,0.2,0.97,-2.1545,-54.4268,73.5
